State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.30297	3.21596	3.06872	3.06537	3.01517	2.84116	2.75415	2.75080	2.71734	2.68387	2.65710	2.69056	2.71064	2.70060	2.81438	2.78761	2.86793	2.84785	2.76419	2.73072	2.72738
2	1.60276	1.66838	1.63259	1.57890	1.56697	1.61867	1.69225	1.73600	1.81753	1.77974	1.74991	1.76582	1.73600	1.78969	1.74991	1.81355	1.79366	1.73401	1.78173	1.78173	1.84139
3	3.21487	3.23616	3.29293	3.25390	3.23616	3.26100	3.27519	3.27874	3.25035	3.11196	2.97712	2.85648	2.68970	2.54422	2.38808	2.37744	2.36325	2.45905	2.44486	2.50163	2.47680
4	0.42932	0.40142	0.39212	0.41072	0.37042	0.35647	0.35027	0.34252	0.34872	0.35182	0.37352	0.39057	0.42002	0.44791	0.48046	0.45101	0.45721	0.46961	0.48666	0.50836	0.51456
5	2.73126	2.74968	2.70495	2.61023	2.66548	2.72863	2.76547	2.75758	2.63654	2.56023	2.46287	2.38394	2.31552	2.25763	2.15502	2.07871	2.07345	2.01819	1.96556	1.88399	1.82874
6	2.09754	2.10243	2.09876	2.08838	2.10670	2.12014	2.13480	2.13908	2.17939	2.26491	2.37424	2.44571	2.52756	2.63201	2.73890	2.79998	2.80365	2.83358	2.85251	2.84885	2.78715
7	4.72042	4.75284	4.80107	4.86116	4.84693	4.81847	4.78051	4.73070	4.68563	4.58284	4.40968	4.25312	4.08075	3.85936	3.66090	3.48853	3.33513	3.17304	3.00304	2.87574	2.78481
8	0.83265	0.81844	0.81235	0.82453	0.84281	0.83062	0.82859	0.81438	0.81235	0.79610	0.78188	0.76970	0.82047	0.83875	0.85906	0.86515	0.87733	0.89764	0.90577	0.90577	0.91592
9	0.49277	0.49393	0.49377	0.49398	0.49356	0.49461	0.49571	0.49728	0.49907	0.50122	0.50547	0.50956	0.51287	0.51638	0.51984	0.52352	0.52730	0.53165	0.53679	0.54199	0.54797
10	1.31971	1.30399	1.30875	1.30732	1.31161	1.31256	1.30756	1.31209	1.30661	1.31899	1.33090	1.34138	1.35542	1.36828	1.37971	1.39686	1.42020	1.44044	1.46330	1.48211	1.50402
