State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.31545	5.16022	6.51009	8.79630	12.47078	17.83186	24.66686	31.38076	35.61646	35.62827	35.67258	38.88627	38.26894	35.85571	30.45328	22.12072	14.52660	9.36933	6.36536	4.55470	3.53565
2	3.62445	4.19489	5.13215	6.21335	7.08041	7.75089	7.43495	5.84476	4.46167	4.94259	5.12513	3.13125	2.95397	3.22427	3.54722	4.07202	4.28616	4.31599	3.94916	3.49632	3.16108
3	8.69758	8.95441	8.72577	8.07431	6.80898	5.05193	3.18525	2.14856	1.74453	1.55661	1.58480	1.68815	2.05773	3.48592	7.82375	14.72356	20.96879	24.73659	26.30259	26.36837	25.35046
4	0.90425	0.77292	0.67990	0.61150	0.56772	0.51437	0.47333	0.46375	0.42271	0.40082	0.36662	0.35021	0.35568	0.35294	0.36252	0.37620	0.42271	0.53626	0.71820	1.00958	1.35569
5	0.78268	0.69907	0.69907	0.62940	0.61082	0.60385	0.61082	0.61778	0.67120	0.69675	0.77107	0.80591	0.81520	0.81520	0.79429	0.76875	0.80358	0.85468	0.95222	1.07764	1.37027
6	0.89658	0.85992	0.80170	0.74239	0.67338	0.60653	0.55962	0.52835	0.51919	0.50247	0.46527	0.45827	0.48468	0.48792	0.52027	0.53590	0.57741	0.63456	0.72514	0.83458	0.94834
7	0.59880	0.55413	0.51784	0.50040	0.47457	0.45782	0.43898	0.43200	0.43130	0.44945	0.47876	0.49900	0.50109	0.52692	0.51924	0.53250	0.53669	0.53738	0.56111	0.60229	0.66091
8	0.76900	0.79947	0.83712	0.83174	0.83891	0.87476	0.86580	0.87117	0.90165	0.89089	0.90882	0.93929	0.93571	0.91061	0.83712	0.80485	0.73853	0.70268	0.66682	0.61843	0.60767
9	0.49380	0.48709	0.47746	0.46815	0.45838	0.44782	0.43860	0.43198	0.42716	0.42517	0.42388	0.42281	0.42323	0.42466	0.42656	0.42953	0.43286	0.43721	0.44138	0.44541	0.44749
10	2.45326	2.39000	2.28427	2.12390	1.93011	1.66991	1.41916	1.24597	1.16084	1.12742	1.10851	1.10893	1.13520	1.16652	1.21129	1.25879	1.31932	1.36977	1.42841	1.48326	1.51437
