State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.03895	36.35352	5.83722	1.40825	2.65738	35.67072	17.80848	0.35461
2	1.74842	4.76129	1.58796	1.01691	1.75010	5.12529	4.57580	0.66889
3	0.97982	1.37416	2.69689	2.22193	2.97388	1.58484	8.41047	0.22906
4	2.24328	0.31549	0.27427	2.24948	0.37356	0.36663	0.59283	0.17168
5	1.32134	0.83283	3.30735	2.28053	2.46313	0.77109	0.81101	0.19773
6	5.69207	0.61282	2.00659	2.05789	2.37449	0.46529	0.68605	0.38560
7	4.39718	0.71134	5.37723	2.23545	4.40856	0.47878	0.56259	0.30136
8	1.71199	2.36466	0.84947	0.63864	0.78196	0.90885	0.78872	0.92449
9	66.26636	0.32824	0.44625	0.74310	0.50552	0.42389	0.48009	1.23554
10	14.60059	1.25582	1.19441	1.00289	1.33104	1.10854	1.59668	0.72695
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
