State (Emission order)	H3k09me3	Ezh239875	h2az	H3k09ac	H3k27ac	H3k04me2	H3k04me1	H3k79me2	H4k20me1	H3k36me3
1	0.0023923032231417812	0.11053448286305885	0.7412697815224251	0.9640275327018946	0.8817316607481755	0.9631867536962838	0.6989235355821476	0.4185337515578559	0.06378343074812982	0.009653033916836508
2	0.011723930521942583	0.06297138684422553	0.17325664692194148	0.15523770581622234	0.369121314302508	0.21866390233805502	0.8099145790571681	0.01635890978153635	0.02897812928682518	0.025815017263329035
3	0.004077784613230824	0.03299268723419317	0.00441822534401035	0.3905171349047117	0.3638900665162362	0.7204538466758936	0.8948226395450523	0.9535785023321822	0.5070616812653969	0.40925437957402827
4	0.006345207378484616	0.020553937006442684	1.4074921248649153E-4	0.02183502908673909	0.017624211852277274	0.007849656933190367	0.032214724863110396	0.7636604883944754	0.3719601867837459	0.06390031131075903
5	0.036370998247851866	0.02518161155384439	2.7845615198908316E-4	0.042398509370758515	0.061668185459843344	0.021181326628253033	0.052143153847245625	0.8338513351215183	0.5279219250116336	0.8772712547556837
6	0.0012480008279642432	0.016769777410606996	2.1801534240360865E-4	0.012442316535503605	0.003655148790879075	9.429979212110219E-5	0.0010403583040148998	0.0202207164259158	0.02217503093664595	0.09125097471926802
7	0.020765046920137684	0.022120975300541065	1.75874749520853E-4	0.02093403344062627	0.012035193994549623	2.1981494203140512E-4	0.002307080869853294	0.02560393005591322	0.054453173500938756	0.7884611554214527
8	0.44986204223011467	0.03510197867531782	0.019574663763178273	0.004545153297014883	0.00657512637877459	2.963582824657232E-4	0.0014054250159711526	0.0021644085697202597	0.003010539178893446	0.032659243834669775
9	0.00370482526719923	0.030286055328359162	0.002812076901061903	0.004085572898083451	1.3573960972092227E-19	3.022163981152177E-5	1.4181887947263192E-4	3.985649909247696E-6	3.90316416204606E-4	1.304136232689937E-4
10	0.0016993721620974006	0.05834146871120736	0.02055079074540684	0.015887679297559135	0.0034294769483482358	1.508259713231703E-4	0.002531814531611879	1.1529512546083695E-4	0.019741278874582994	3.0543724797957663E-4
